post_napoleonic_thought;Post-Napoleonic Thought;Pensée post-napoléonienne;Postnapoleonischer Gedanke;;Pensamiento post-napoleónico;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_napoleonic_thought_desc;Post-Napoleonic Thought;Pensée post-napoléonienne;Postnapoleonischer Gedanke;;Pensamiento post-napoleónico;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strategic_mobility;Strategic Mobility;Mobilit?stratégique;Strategische Mobilität;;Movilidad estratégica;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strategic_mobility_desc;Strategic Mobility;Mobilit?stratégique;Strategische Mobilität;;Movilidad estratégica;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
field_fortifications;Field Fortifications;Fortifications de campagne;Feldbefestigungen;;Fortificaciones campo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
field_fortifications_desc;This was the first fortification using modern materials and new engineering techniques. This application gives you the possibility to build a new fortification type.;Il s'agit des premières fortifications qui utilisaient des matériaux et techniques d'ingénierie moderne. Cette amélioration permet de construire un nouveau type de protection.;Dies war die erste Befestigungsart, für die moderne Materialien und Ingenieurstechniken zum Einsatz kamen. Diese Anwendung gibt Ihnen die Möglichkeit, einen neuen Befestigungstyp zu bauen.;;Fueron las primeras fortificaciones que usaron materiales modernos y nuevas técnicas de ingeniería. Esta aplicación te ofrece la posibilidad de construir un nuevo tipo de fortificación.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
railroad_transport_groups;Railroad Transport Groups;Groupes de transport ferroviaire;Eisenbahn-Transportgruppen;;Grupos transp. ferroviario;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
railroad_transport_groups_desc;At this point specialists formed certain groups that serviced specialized railroad units. These could quickly load and reload trains and service the full movement of army units.;?cette époque, des spécialistes ont form?quelques unités ferroviaires spécialisées. Celles-ci pouvaient charger et décharger les trains rapidement et assurer le déplacement des unités.;Zu diesem Zeitpunkt bildeten Spezialisten gesonderte Servicegruppen für spezialisierte Eisenbahneinheiten. Diese Gruppen konnte Züge schnell be- und entladen.;;En ese momento, los especialistas formaron grupos que atendían a unidades ferroviarias especializadas. Éstas podían cargar y recargar trenes rápidamente, as?como posibilitar el total desplazamiento de unidades del ejército.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
signal_detachments;Signal Detachments;Détachements des transmissions;Signaltrupps;;Destacamentos señales;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
signal_detachments_desc;At this point separate signal detachments were added to divisions, vastly increasing their communication.;?cette époque, des détachements des transmissions furent intégrés aux divisions, améliorant ainsi considérablement les communications des unités.;Zu diesem Zeitpunkt wurden Divisionen separate Signaltrupps angefügt, was deren Kommunikationsfähigkeiten enorm steigerte.;;En ese momento, se añadieron destacamentos de señales a las divisiones, que mejoraron enormemente sus comunicaciones.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
point_defense_system;Point Defense System;Points de défense;Punktverteidigungssystem;;Sist. defensa puntos;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
point_defense_system_desc;Point Defense System;Points de défense;Punktverteidigungssystem;;Sist. defensa puntos;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flexible_firepower;Flexible Firepower;Souplesse de la puissance de feu;Flexible Feuerkraft;;Potencia fuego flex.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
