;;;;x
quantum_physics;Quantum Physics;x;;
computerisation;Computerisation;x;;
multinationals;Multinational Corporations;x;;
naval_power_projection;Naval Power Projection;x;;
internet;The Internet;x;;
macro_engineering;Macro-Engineering;x;;
macro_engineering_desc;Macro-Engineering;x;;
synthetic_graphite;Synthetic Graphite;x;;
synthetic_graphite_desc;Synthetic Graphite;x;;
medication;Medication;x;;
medication_desc;Medication;x;;
post_colonialism;Post-Colonialism;x;;
post_colonialism_desc;Post-Colonialism;x;;
selfish_gene;The Selfish Gene;x;;
selfish_gene_desc;The Selfish Gene;x;;
globalisation;Globalisation;x;;
globalisation_desc;Globalisation;x;;
post_modernism;Postmodernism;x;;
post_modernism_desc;Postmodernism;x;;
digital_currency;Digital Currency;x;;
digital_currency_desc;Digital Currency;x;;
submersible_naval_assets;Submersible Naval Assets;x;;
submersible_naval_assets_desc;Submersible Naval Assets;x;;
global_communications;Global Communications;x;;
global_communications_desc;Global Communications;x;;
rocket_science;Rocket Science;x;;
rocket_science_desc;Rocket Science;x;;
assymetric_warfare;Assymetric Warfare;x;;
assymetric_warfare_desc;Assymetric Warfare;x;;
digital_revolution;Digital Revolution;x;;
digital_revolution_desc;Digital Revolution;x;;
robotics;Robotics;x;;
robotics_desc;Robotics;x;;
secret_of_atom;The Secret of the Atom;x;;
secret_of_atom_desc;The Secret of the Atom;x;;
atom_bomb;The Atom Bomb;x;;
atom_bomb_desc;I am become death, the destroyer of worlds;x;;
space_colonisation;Space Colonisation;x;;
lunar_colonisation;Colonisation of the Moon;x;;
lunar_colonisation_desc;Although long dreamed of, it has only recently been remarked that the colonisation of the Moon could be within the realm of possibility.;x;;
martian_colonisation;Colonisation of Mars;x;;
martian_colonisation_desc;Although long dreamed of, it has only recently been remarked that the colonisation of the red planet could be within the realm of possibility.;x;;
manned_space_flight;Manned Space Missions;x;;
privateering;Privateering;x;;
maritime_tradition;Maritime Tradition;x;;
video_games;Video Games;x;;
earlycannon;Early Cannons;x;;
blackpowderforts;Black Powder Forts;x;;
placeholder1;Placeholder;x;;
monetarism;Monetarism;x;;
placeholder3;Placeholder;x;;
pre_industrial_school;Pre-Industrial School;x;;
theory_tech;All Techs: 1604 - 1699;x;;
jacobean_era;Army;x;;
caroline_era;Navy;x;;
georgian_era;Commerce;x;;
edwardian_era;Culture;x;;
elizabethan_era;Industry;x;;
post_renaissance_tech;Post Renaissance Technology;x;;
birth_of_science_tech;The Birth of Science;x;;
scientific_revolution_tech;The Scientific Revolution;x;;
early_agricultural_reforms_tech;Early Agricultural Revolution;x;;
agricultural_revolution_tech;The Agricultural Revolution;x;;
dawn_of_industrial_revolution_tech;Dawn of the Industrialization;x;;
first_industrial_revolution_tech;The First Industrial Revolution;x;;
late_medieval_warfare;Post Medieval Warfare;x;;
early_military_revolution;Early Military Revolution;x;;
flintlock_muskets;Flintlock Technology;x;;
military_revolution;The Military Revolution;x;;
era_of_mass_armies;Era of Mass Armies;x;;
early_modern_warfare;Early Modern Warfare;x;;
napoleonic_warfare;Napoleonic Warfare;x;;
late_renaissance;Late Renaissance;x;;
mannerism;Mannerism;x;;
early_baroque;Early Baroque;x;;
high_baroque;High Baroque;x;;
rococo;Rococo;x;;
neoclassicism;Neoclassicism;x;;
early_romanticistic_culture;Early Romanticism;x;;
late_reformation;Post Reformation;x;;
counter_reformation;Counter Reformation;x;;
inquisitions_tech;Inquisition;x;;
jesuit_movements_tech;Jesuit Movement;x;;
the_great_awakening;The Great Awakening;x;;
downfall_of_the_old_church;Downfall of the Old Church;x;;
anti_clericalism;Anti Clericalism;x;;
late_renaissance_philosophies;Late Renaissance Philosophies;x;;
age_of_rationalism;Age of Rationalism;x;;
early_modern_philosphies;Early Modern Philosophies;x;;
enlightenment;The Enlightenment;x;;
counter_enligthenment;Counter Enlightenment;x;;
revolutionary_ideas;Revolutionary Ideals;x;;
