ANC_ADJ;Chinese;Chinese;Chinese;;;;;;;;;;;x;
ANC;Anhui Clique;Anhui Clique;Anhui Clique;;;;;;;;;;;x;
FTC_ADJ;Chinese;Chinese;Chinese;;;;;;;;;;;x;
FTC;Fengtian Clique;Fengtian Clique;Fengtian Clique;;;;;;;;;;;x;
SCC_ADJ;Chinese;Chinese;Chinese;;;;;;;;;;;x;
SCC;Sichuan Clique;Sichuan Clique;Sichuan Clique;;;;;;;;;;;x;
YNC_ADJ;Chinese;Chinese;Chinese;;;;;;;;;;;x;
YNC;Yunnan Clique;Yunnan Clique;Yunnan Clique;;;;;;;;;;;x;
ZLC_ADJ;Chinese;Chinese;Chinese;;;;;;;;;;;x;
ZLC;Zhili Clique;Zhili Clique;Zhili Clique;;;;;;;;;;;x;
