#;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;x
### countrys                                    ##;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;x
AFS;American Freestate;;;;;;;;;;;;;x
AFS_ADJ;German-American;;;;;;;;;;;;;x
AFS_absolute_monarchy;Kingdom of New Austria;;;;;;;;;;;;;x
AFS_prussian_constitutionalism;Kingdom of New Austria;;;;;;;;;;;;;x
AFS_hms_government;Kingdom of New Austria;;;;;;;;;;;;;x
AFS_fascist_dictatorship;New Germany;;;;;;;;;;;;;x
AFS_proletarian_dictatorship;North American Workers Federation;;;;;;;;;;;;;x
CGP;Congress Poland;;;;;;;;;;;;;x
CGP;Polish;;;;;;;;;;;;;x
FRA_napoleonic_empire;French Empire;;;;;;;;;;;;;x
ITA_revolutionary_republic;Cisalpine Republic;;;;;;;;;;;;;x
GEN_revolutionary_republic;Ligurian Republic;;;;;;;;;;;;;x
NET_revolutionary_republic;Batavian Republic;;;;;;;;;;;;;x
SWI_revolutionary_republic;Helvetic Republic;;;;;;;;;;;;;x
RHR;Rhodanic Republic;;;;;;;;;;;;;x
RHR_ADJ;Rhodanic;;;;;;;;;;;;;x
PIE;Piemont;;;;;;;;;;;;;x
PIE_ADJ;Piemontian;;;;;;;;;;;;;x
PIE_revolutionary_republic;Subalpine Republic;;;;;;;;;;;;;x
GHB;Berg;;;;;;;;;;;;;x
GHB_ADJ;Bergian;;;;;;;;;;;;;x
GHB_absolute_monarchy;Grand Duchy of Berg;;;;;;;;;;;;;x
GHB_prussian_constitutionalism;Grand Duchy of Berg;;;;;;;;;;;;;x
GHB_hms_government;Grand Duchy of Berg;;;;;;;;;;;;;x
HZP;Hohenzollern Principalitys;;;;;;;;;;;;;x
HZP;Hohenzollernsch;;;;;;;;;;;;;x
HZP_proletarian_dictatorship;Hohenzollern lands;;;;;;;;;;;;;x
HZP_presidential_dictatorship;Hohenzollern lands;;;;;;;;;;;;;x
HZP_bourgeois_dictatorship;Hohenzollern lands;;;;;;;;;;;;;x
HZP_fascist_dictatorship;German Nation of the Hohenzollern lands;;;;;;;;;;;;;x
HZP_democracy;Hohenzollern lands;;;;;;;;;;;;;x
HZP_socialist_republic;Hohenzollern lands;;;;;;;;;;;;;x
WES;Westphalia;;;;;;;;;;;;;x
WES_ADJ;Westphalian;;;;;;;;;;;;;x
WES_absolute_monarchy;Kingdom of Westphalia;;;;;;;;;;;;;x
WES_prussian_constitutionalism;Kingdom of Westphalia;;;;;;;;;;;;;x
NEU;Neuchâtel;;;;;;;;;;;;;x
NEU_ADJ;Neuchtalian;;;;;;;;;;;;;x
NEU_absolute_monarchy;Principality of Neuchâtel;;;;;;;;;;;;;x
NEU_prussian_constitutionalism;Principality of Neuchâtel;;;;;;;;;;;;;x
NEU_hms_government;Principality of Neuchâtel;;;;;;;;;;;;;x
POL_napoleonic_empire;Duchy of Warsaw;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;x
### events                                      ##;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;x
cores_of_the_afs_title;Vice Kingdom New Austria;;;;;;;;;;;;;x
cores_of_the_afs_desc;We organized the Kingdom of New Austria;;;;;;;;;;;;;x
become_a_freestate_title;Become a Freestate;;;;;;;;;;;;;x
become_a_freestate_desc;Without the emperor on our back, we should become a democracy.;;;;;;;;;;;;;x
allamerica_title;Allamerica;;;;;;;;;;;;;x
allamerica_desc;Since we ware seen as a Great Power we should rule over North America, instad of the European colonial Powers.;;;;;;;;;;;;;x
annex_genoa_title;Annexion of the Ligurian Republic;;;;;;;;;;;;;x
annex_genoa_desc;In 1804 France annexed, its former ally;;;;;;;;;;;;;x
protectorat_wallis_title;Le protectorat des Wallis;;;;;;;;;;;;;x
protectorat_wallis_desc;The puppet Helvetic Republic served Napoleon's purposes well for some time until it became ridden with inner strife and disputes and became unstable. The inner crisis in the Helvetic Republic became especially tangible by 1802. At the very same time, Napoleon felt great need to secure the passages to Italy and stabilise connections between France and Italy. Therefore the old idea of Rhodanic Republic became revitalized. This time, Napoleon simply made the whole canton of Valais into the Rhodanic Republic, fully independent of the Helvetic Republic which had still a few months to live. Thus Napoleon's hands were free and he had got a sure method of securing a safe passage into Italy.;;;;;;;;;;;;;x
annex_piedmont_title;Annex the Subalpine Republic;;;;;;;;;;;;;x
annex_piedmont_desc;Piedmont was the main part of the Kingdom of Sardinia which, despite its name, had its core on the mainland. The kingdom suffered a first French invasion in 1796, which led to the Treaty of Paris and the loss of Savoy and Nice. After a second invasion in 1798, King Charles Emmanuel IV escaped to Rome, but he never agreed to sign a new peace treaty, approving a final arrangement of its continental territories according to international law. After the great Battle of Marengo in 1800, Piedmont was still under military occupation when on 4 June 1802, Charles Emmanuel abdicated in favor of his brother Victor Emmanuel I, who was in Cagliari under British naval protection. Napoleon took this pretext to declare the forfeiture of the old sovereignty over Piedmont, which was annexed to France in September 1802 as the départements of Doire, Marengo, Pô (briefly named "Éridan", after Eridanos), Sesia, Stura, and Tanaro, whereas Novara (as the department of Agogna) went to Republican Italy.;;;;;;;;;;;X
annex_parma_title;Annex the Duchy of Parma;;;;;;;;;;;;;x
annex_parma_desc;In 1796, the duchy was occupied by French troops under Napoleon Bonaparte, and the political situation of the State became extremely confused. Duke Ferdinand maintained his throne under French military governors until the Treaty of Aranjuez of 1801, when a general agreement between the House of Bourbon and Napoleon formally decided the cession of the duchy to France in exchange for Tuscany, but the Duke lasted in Parma until he died in 1802, maybe by poisoning. However, Napoleon was undecided about the future of the duchy, aspiring to a total engagement of the Bourbons in the European wars as his allies. Even if French laws and administration was gradually introduced, the formal annexation to the French Empire was declared only in 1808 after the outbreak of the conflict against Bourbonic Spain. The duchy was reformed as the département of Taro.;;;;;;;;;;;;;x
annex_wallis_title;Annex the Rhodanic Republic;;;;;;;;;;;;;x
annex_wallis_desc;In 1810 Napoleon declared this ephemeral state a part of the French empire under the name of Department of the Simplon. In 1810 the Rhodanic Republic was annexed by Napoleonic France as the department of Simplon.;;;;;;;;;;;;;x
new_allies_title;New Allies;;;;;;;;;;;;;x
new_allies_desc;In 1805, after the Reichsdepputationshauptschluss, Napoleon made alliances with the south german states Bavaria, Baden and Württemberg.
war_of_the_third_coalition_title;War of the Third Coalition;;;;;;;;;;;;;x
war_of_the_third_coalition_desc;The War of the Third Coalition was a European conflict spanning the years 1803 to 1806. During the war France and its client states under Napoleon I defeated an alliance of the Holy Roman Empire led by Austria, Russia, and others.;;;;;;;;;;;;;x
war_of_the_fours_coalition_title;War of the Fourth Coalition;;;;;;;;;;;;;x
