;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97600;Sakoku;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97600;Meaning 'locked country', Sakoku was the foreign relations policy of Japan instituted by the Tokugawa shogunate in the 17th century, with no foreigner allowed to enter the country on pain of death. While some contact with westerners was permitted in the south, at the Dejima trade enclave in particular, such contact was strictly regulated and kept Japan in a state of isolation from the rest of the world.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97601;Rangaku;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97601;Meaning 'Western Learning', Rangaku referred to the body of knowledge developed by Japan through its contacts with the Dutch enclave at Dejima. Despite the enforced isolation of the nation, this policy of learning allowed western influences to spread-- particularly in the southern domains of Satsuma and Choshu.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97605;Kurofune;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97606;Commodore Perry Successful;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97606;Commodore Perry has returned from his mission to Japan with a treaty in hand: we have gained numerous trade concessions, but more importantly we have cracked open the shield that is Japan's policy of isolation. This is a great coup for American diplomacy and influence in the Far East.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97607;The Japanese Are Defiant!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97607;Commodore Perry has returned from his mission to Japan with unfortunate news: they have chosen to defy his ultimatum and thumb their collective noses at our government. Should we back down now, it will be a great blow to our prestige and our influence in the Far East.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97608;Japanese Surrender?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97608;We are being overwhelmed by the superior might of western armaments. Despite the loss of face, we must consider offering the hated foreigners terms of our surrender.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97609;The Japanese Have Surrendered;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97609;We have formally concluded a treaty with the Japanese which will see our influence restored, and our demands for their ports to be opened to our ships to be met. Additionally, an indemnity will be placed upon their government to make up for the expense of the $COUNTRY_ADJ$ war effort.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97610;The Japanese Have Refused!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97610;Despite the overwhelming odds against them, the Japanese have refused our generous offer of surrender.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97615;Sonno Joi;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97615;'Revere the emperor and expel the barbarians!'\n\nThis is the slogan chanted by neo-confucian activists, reacting to the Tokugawa shogunate's opening of Japan to foreigners. There have been growing reports of violence all over the country, primarily against foreign visitors and statesmen but also against the shogunate itself. Each incident chips away at Tokugawa control over the daimyo and erodes relations with the western powers.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97616;$PROVINCENAME$ Incident;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97616;There has been an incident in $PROVINCENAME$ where samurai, acting under the political slogan of 'Sonno Joi', have committed violence against foreigners conducting business in $STATENAME$. The incident has affected the Tokugawa shogunate's relations with foreign powers, as well as incited locals into riot.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97617;Order to Expel the Barbarians;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97617;In an unprecedented move, the Imperial Court has issued an edict to expel the foreign barbarians present in Japan. This runs in contravention to the traditional role of the Emperor as a figurehead, is a challenge to the shogunate's power, and may serve to further incite rebellion.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97618;In an unprecedented move, the Imperial Court has issued an edict to expel the foreign barbarians present in Japan. This runs in contravention to the traditional role of the Emperor as a figurehead, and is a challenge to the shogunate's power. The $COUNTRY_ADJ$ clan must decide whether it supports the Emperor's edict or quietly opposes it.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97620;The Death of Iesada;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97620;Tokugawa Iesada, the 13th shogun of Japan, has died childless. This has begun a struggle within the bakufu to select a replacement. The southern tozama daimyo wish to see Tokugawa Yoshinobu become shogun, while the fudai daimyo and shogunate officials are more in favor of Tokugawa Iemochi-- even though he is still but a child. It seems certain that, no matter which candidate is victorious, the disaffected daimyo will see this as a loss of power and make trouble.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97621;Tokugawa Yoshinobu is Shogun;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97621;The shogunate has taken a step in the right direction and appointed Tokugawa Yoshinobu as the new leader of the bakufu following the death of Iesada. This was always the preferred choice of the tozama daimyo, and perhaps it is a sign that the bakufu is not only willing to do what it must to keep Japan strong but also a sign that the tozama will be permitted more influence within the shogunate.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97622;Even though the fudai daimyo, the relatives and close allies of the Tokugawa clan, supported the appointment of young Iemochi as the new shogun following Iesada's death, instead the leader of the bakufu will be Yoshinobu... a candidate favored by the outsider tozama daimyo. The fudai are growing increasingly alarmed at the insidious influence of the tozama, and there is a stirring sentiment that perhaps the time has come for a grander change.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97623;Tokugawa Iemochi is Shogun;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97623;Pandering once again to the fudai daimyo, all relatives and close allies within the bakufu, the child Iemochi has been appointed shogun-- instead of the more sensible candidate chosen by the tozama. It is becoming increasingly clear that a larger change is necessary. Perhaps the time has come for the Emperor to rule Japan, a single leader to bring the nation into this new era?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97624;The shogunate has taken a step in the right direction and appointed Tokugawa Iemochi as the new leader of the bakufu following the death of Iesada. This was always the preferred choice of the fudai daimyo, and perhaps it is a sign that the bakufu is not only willing to do what it must to keep Japan strong but also a sign that the outsider tozama will have their influence in the bakufu kept to a minimum.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97625;Sakuradamon Incident;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97625;The shogun's Chief Minister has been assassinated by ronin samurai outside the very gates of Edo castle! Though the ronin were either cut down or committed seppuku, a manifesto found on their bodies makes it clear their act was a reaction to the recent purge instigated by the Chief Minister against agitators within the shogunate. This is a clear sign that upheaval against the bakufu has reached an unacceptable point. Many are urging that a policy of Kobu Gattai-- a union of the bakufu and the imperial court-- may be required.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97626;The shogun's Chief Minister has been assassinated by ronin samurai outside the very gates of Edo castle! Though the ronin were either cut down or committed seppuku, a manifesto found on their bodies makes it clear their act was a reaction to the recent purge instigated by the Chief Minister against agitators within the shogunate. This is a clear sign that upheaval against the bakufu has reached an unacceptable point, and thus the bakufu has begun a compromise policy of Kobu Gattai-- a union of the bakufu and the imperial court. Some are seeing this as a sign of further weakness.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97627;The shogun's Chief Minister has been assassinated by ronin samurai outside the very gates of Edo castle! Though the ronin were either cut down or committed seppuku, a manifesto found on their bodies makes it clear their act was a reaction to the recent purge instigated by the Chief Minister against agitators within the shogunate. This is a clear sign that upheaval against the bakufu has reached an unacceptable point, yet the shogunate refuses to compromise with the imperial court. Many are certain this will only speed up the coming conflict.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97630;The Death of Emperor Komei;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
