Treaty_of_Alliance_title;Treaty of Alliance;Treaty of Alliance;Treaty of Alliance;;;;;;;;;;;;x;;;;;;;;;;;;;;
Treaty_of_Alliance_desc;According to the treaty both states agreed not to enter in an alliance against the other state, to follow policy of friendship and to help each other. According to Annex 2 Germany guaranteed "with all its efforts the political independence and the territorial integrity of Bulgaria... against every attack or claim from any country." Bulgaria agreed to help Germany with its whole army in case "Germany is attacked without reason by a country bordering with Bulgaria." The Treaty also set the boundaries for Bulgaria and Austria-Hungary after the partition of SerbiaAccording to the treaty both states agreed not to enter in an alliance against the other state, to follow policy of friendship and to help each other. According to Annex 2 Germany guaranteed "with all its efforts the political independence and the territorial integrity of Bulgaria... against every attack or claim from any country." Bulgaria agreed to help Germany with its whole army in case "Germany is attacked without reason by a country bordering with Bulgaria." The Treaty also set the boundaries for Bulgaria and Austria-Hungary after the partition of Serbia.;According to the treaty both states agreed not to enter in an alliance against the other state, to follow policy of friendship and to help each other. According to Annex 2 Germany guaranteed "with all its efforts the political independence and the territorial integrity of Bulgaria... against every attack or claim from any country." Bulgaria agreed to help Germany with its whole army in case "Germany is attacked without reason by a country bordering with Bulgaria." The Treaty also set the boundaries for Bulgaria and Austria-Hungary after the partition of Serbia.;;;;;;;;;;;;x;;;;;;;;;;;;;;
WWONE_NAME;World War One;Disposent d'un score militaire inférieur à :  ;Erringen Sie eine geringere Militärpunktzahl als:;;Tiene una puntuación militar menor que: ;;;;;;;;x;
WWONE_DESC;The World is on the brink of war. Europe is set in two alliaces, the Central Powers of Austria-Hungary and Germany, and the Triple Entente of Great Britain, France, and Russia. In the Americas, Mexico is in turmoil. The USA is a power on the rise, with a strong leader in Woodrow Wilson, and a booming economy. In Asia, Japan is another rising power, seeking to impose its rule and increase its colonial holdings across Asia. Russia is the bear of Europe, but has recently been subject to a rebellion brought on by a disasterous war with Japan. They are still a threat to be reckoned with though, as their army is one of the largest, which makes up for its technological and tactical backwardness. Germany is the finest war machine on the planet, but is being dragged down by a fading power, Austria-Hungary. The Balkans, an area full of racial unrest and tension, have almost driven Europe to war in recent years, and may well be the spark that ignites the fire looming on the dawn.;Besoins satisfaits à moins de;Erfüllte Bedürfnisse weniger als;;Necesidades satisfechas a menos de;;;;;;;;x;
Tension_Event;There is much tension in Europe;Besoins satisfaits d'au moins;Erfüllte Bedürfnisse mindestens;;Necesidades satisfechas a;;;;;;;;x;
Tension_DESC;Tension fills the air as Europe is readying for war. Our people are ignited by this war fever, and we now have the ability to call up more of them for military service if the need arises.;Moins de $VAL$ souhaitent une réforme politique.;Weniger als $VAL$ wollen politische Reformen.;;Menos de $VAL$ quieren reformas políticas.;;;;;;;;x;
tension_1;We must be prepared;Au moins $VAL$ souhaitent une réforme politique.;Mindestens $VAL$ wollen politische Reformen.;;Al menos $VAL$ quieren reformas políticas.;;;;;;;;x;
builduptowar;Building up to war;Moins de $VAL$ souhaitent une réforme sociale.;Weniger als $VAL$ wollen soziale Reformen.;;Menos de $VAL$ quieren reformas sociales.;;;;;;;;x;
builduptowarDESC;We are readying the masses for the possibility of war.;Au moins $VAL$ souhaitent une réforme sociale.;Mindestens $VAL$ wollen soziale Reformen.;;Al menos $VAL$ quieren reformas sociales.;;;;;;;;x;
balkan_problems;Problems in the Balkans;République populaire d'Amérique;American People's Republic;;EE UU;;;;;;;;;x
balkan_problems_desc;There have long been problems in the Balkans and people are starting to revolt;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
Franceset_Event;Is war a threat?;États-Unis;USA;;EE UU;;;;;;;;;x
Franceset_DESC;War might be looming on the horizon, but will it be a global war?;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
Franceset_1;Yes.;États-Unis;USA;;EE UU;;;;;;;;;x
Franceset_2;No;États confédérés d'Amérique;CSA;;EE CC;;;;;;;;;x
Balkanoverview_Event;Overview of Balkans;États-Unis;USA;;EE UU;;;;;;;;;x
