form_arabia_title; Arab unity;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_arabia_desc;Idea of pan-Arabism, advanced by thinkers and religious leaders, has always excited the minds of the emirs and sultans of the Middle East. Now, when the Ottoman Empire weakened, and is not an insurmountable obstacle, and the threat of invasion by the Christian invaders makes you forget about the internal conflict, the restoration of a unified Arab state is only a matter of time.;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_arab_union_title;Unite the Arabic Peoples;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
form_arab_union_desc;A nation must arise to lead the Arab peoples of the world into the future, a greater power that would unite the Arab world from Morocco to the Mashriq.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
form_babylonia_title; Establish Babylonian Empire;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_babylonia_desc; between the Tigris and Euphrates has settled once again become our independent state, and the sages say: this is a sign from above. We need to make Baghdad new jewel of the Empire of Babylon, erecting a tower above the old and bringing together the peoples of the ancient kingdom.;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
form_baltic_states_title;Unite the Baltic States;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
form_baltic_states_desc;The time has become to unite the Baltic nations under a single flag-- ours.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;
form_baluchistan_title;Form Baluchistan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
form_baluchistan_desc;The Baluchi people must be liberated and united under a single flag-- ours.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;
form_benelux_title;Form Benelux;Form Benelux;Form Benelux;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
