;;;;x
EVTNAME21600;Mega Tsunami;x
EVTDESC21600; Sir! Cumbre Vieja has erupted and caused a massive landslide which in turn created the biggest wave ever recorded in human history! Those living in the Canary Islands didn't stand a chance! It is now headed directly towards Europe and North America!;x
EVTOPTA21600;Get to the chopper!;x
EVTNAME21610;Mega Tsunami;x
EVTDESC21610; Big wave incoming sir!;x
EVTOPTA21610;Get to the chopper!;x
EVTDESC21700; Twisters have wrecked havok in the province and as a result many residents have lost their homes and businesses. The local economy will most likely take a few months to recover.;x
EVTOPTA21700;Let's help however we can;x
EVTOPTB21700;It's just wind;x
EVTOPTA21720;Very good;x
tornado_devastation;Tornado Devastation;x
EVTDESC660000_NEWS_LONG;It is Armageddon! A large asteroid has just crashed into the Earth and wiped out most life on the planet.;x
EVTDESC660000_NEWS_MEDIUM;A large asteroid has just crashed into the Earth and wiped out most life on the planet!;x
EVTDESC660000_NEWS_SHORT;A large asteroid has just crashed into the Earth!;x
EVTNAME660000;Massive Asteroid Crashes into Earth;x
EVTDESC660000;It is Armageddon! A large asteroid has just crashed into the Earth and wiped out most life on the planet. Luckily we saw it coming and moved the ruling class of the country to an underground bunker!;x
EVTOPTA660000;We Shall Rebuild!;x
EVTNAME660010;Massive Asteroid Crashes into Earth;x
EVTDESC660010;It is Armageddon! A large asteroid has just crashed into the Earth and wiped out most life on the planet. Luckily we saw it coming and moved the ruling class of the country to an underground bunker!;x
EVTOPTA660010;We Shall Rebuild!;x
EVTDESC21600_NEWS_LONG;A mega tsunami has just hit the shores of North America, Europe and the Caribbeans, millions are feared dead following the disaster.;x
EVTDESC21600_NEWS_MEDIUM;A mega tsunami has just hit the shores of North America, Europe and the Caribbeans, millions are feared  dead.;x
EVTDESC21600_NEWS_SHORT;A mega tsunami has just hit the shores of North America, Europe and the Caribbeans.;x
province_flooded;Flooded;x
EVTDESC660020_NEWS_LONG;A $COUNTRY_ADJ$ castaway was found alive after being shipwrecked on a desert island;x
EVTDESC660020_NEWS_MEDIUM;A $COUNTRY_ADJ$ castaway was found alive after being shipwrecked on a desert island;x
EVTDESC660020_NEWS_SHORT;A $COUNTRY_ADJ$ castaway was found alive after being shipwrecked on a desert island;x
;;;;x
