ABU_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facción radical;;;;;;;;;x;;;;
ABU_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facción comunista;;;;;;;;;x;;;;
ABU_conservative;Sheikhs Council;Conseil des Cheikhs;Scheichrat;;Consejo de jeques;;;;;;;;;x;;;;
ABU_conservative_2;Trucial Sheiks;Sheiks Trucial;Befriedete Scheichs;;Jeques truciales;;;;;;;;;x;;;;
ABU_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;;;x;;;;
ABU_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;;;x;;;;
ABU_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;;;;;;;;;x;;;;
ABU_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La facción socialista;;;;;;;;;x;;;;
AFG_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facción radical;;;;;;;;;x;;;;
AFG_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facción comunista;;;;;;;;;x;;;;
AFG_conservative;Amir Faction;Faction Amir;Amir-Fraktion;;Facción Amir;;;;;;;;;x;;;;
AFG_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;;;x;;;;
AFG_liberal;Pashah Faction;Faction Pashah;Pascha-Fraktion;;Facción Bajá;;;;;;;;;x;;;;
AFG_liberal_2;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;;;x;;;;
AFG_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;;;;;;;;;x;;;;
AFG_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La facción socialista;;;;;;;;;x;;;;
ALB_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facción radical;;;;;;;;;x;;;;
ALB_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facción comunista;;;;;;;;;x;;;;
ALB_conservative;Pasha Faction;Faction Pasha;Pascha-Fraktion;;Facción bajá;;;;;;;;;x;;;;
ALB_conservative_2;Royal Faction;Faction royale;Königsfraktion;;Facción real;;;;;;;;;x;;;;
ALB_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;;;x;;;;
ALB_liberal;National Assembly;Assemblée nationale;Nationalversammlung;;Asamblea Nacional;;;;;;;;;x;;;;
ALB_liberal_2;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;;;x;;;;
