;;;;x
buy_east_prussia_title;Buy East Prussia Back;x
buy_east_prussia_desc;Russia has offered to sell East Prussia back to us.;x
genocide_title;Commence Genocide;x
genocide_desc;The fascist dream of a pure and utterly $COUNTRY_ADJ$ nation starts here. A genocide will rid $COUNTRY$ of most minorities.;x
communist_purge_title;The Great Purge;x
communist_purge_desc;The realisation of the communist dream of a classless utopia requires the extinction of the old order. A great purge would eliminate all who are deemed a threat to the party!;x
commie_purged;Communist Purge;x
commie_purged_desc;Every month the world hears new rumours of massacres of the $COUNTRY_ADJ$ upper class. While whether they are aware of the full scale of the brutality is debatable, these reports are sure to hurt our international reputation for years to come.;x
commited_genocide_desc;Every month the world hears new rumours of massacres of the $COUNTRY_ADJ$ upper class. While whether they are aware of the full scale of the brutality is debatable, these reports are sure to hurt our international reputation for years to come.;x
EVTNAME666666;Nuclear Attack;x
EVTDESC666666;$MONARCHTITLE$! $FROMCOUNTRY$ has carried out a nuclear strike on $COUNTRY_ADJ$ soil, many of our citizens are dead and radiation hysteria has gripped our nation!;x
EVTOPTA666666;Dear GOD! NO!;x
irradiated;Irradiated;x
irradiated_desc;The land here has been exposed to an extreme amount of radiation, many are fleeing and those who choose to stay face an uncertain fate.;x
has_nuked;Carried out Nuclear Strike;x
has_nuked_desc;While not taken lightly, our decision to carry out a nuclear strike against another country has undoubtedly shaken the international's community faith in our nation.;x
nuclear_victim;Nuclear Victim;x
nuclear_victim_desc;We have been dealt a cruel fate by a foreign nation. The international community shares our grief.;x
EVTDESC666666_NEWS_LONG;We are receiving worrying reports stating that $FROMCOUNTRY$ has carried out a nuclear strike on one of its enemy. Whatever the political situation of the $FROMCOUNTRY_ADJ$ government this is an unnaceptable crime against humanity and as is appropriate our foreign ministry will shortly be joining the United Nations and the world in condemning the strike.;;x;
EVTDESC666666_NEWS_MEDIUM;We are receiving worrying reports stating that $FROMCOUNTRY$ has carried out a nuclear strike against another nation. Whatever the political situation of the $FROMCOUNTRY_ADJ$ government this is an unnaceptable crime against humanity and as is appropriate our foreign ministry will shortly be joining the United Nations and the world in condemning the strike.;;x;
